,index,image_link,group_id,entity_name,OCR Text,prediction
18841,18864,https://m.media-amazon.com/images/I/51+0lZnSSyL.jpg,173193,width,4CM/1.6IN CBB60 21.5CM/8.5IN 20uF15%50/60Hz 8CM/3.1IN 450VAC 3000h 25/70/21So CE CQC,"The width of the object, as indicated in the image, is 8 cm or 3.1 inches."
18893,18916,https://m.media-amazon.com/images/I/51+4mL15lQL.jpg,483370,width,Product Size 11.8in,The width of the object in the image is 11.8 inches.
18919,18942,https://m.media-amazon.com/images/I/51+6dIsehjL.jpg,478357,width,4 18',"The width of the object, which is the diameter of the table's top surface, is indicated as 14 inches."
18995,19018,https://m.media-amazon.com/images/I/51+C7R+miPL.jpg,119607,width,Led lamp beads shiny H:8.9 Battery:2xAA batteries D:1.8 W:7.91 Can be hung on the wall,7.9 inches
19079,19102,https://m.media-amazon.com/images/I/51+H4c71ozL.jpg,237000,width,"MEASURINGGOIDE Sofa Shield 48""CHAIR Recommended For Seat Widths Up To 48' Seat Width48"" Not Including Arms Back Fold Over Back OfFurniture Strap Hook Strap Hook 40"" 22 22"" 22"" Front 14"" 2""Wide Back Strap Can Be Adjusted Up To 58""In Length",48 inches
19134,19157,https://m.media-amazon.com/images/I/51+LczK1lnL.jpg,119607,width,123 SESAME STREET 6' R 9',The width of the object in the image is 9 inches.
19149,19172,https://m.media-amazon.com/images/I/51+MXOm0RYL.jpg,278850,width,te* EJ+3:27x27mm 02 3 TODOLIST 38.9.25,27mm
20014,20039,https://m.media-amazon.com/images/I/51-I0YMBD9L.jpg,558806,width,4' 7.25,The width of the object in the image is 4 inches.
20269,20296,https://m.media-amazon.com/images/I/51-Ztql8zDL.jpg,668667,width,"SIZE: 158""x110""(width x height 2 34567 110"" 1 22.57"" 158""","158"""
20695,20722,https://m.media-amazon.com/images/I/5100Pls0z5L.jpg,816782,width,O,The width of the object in the image is 75 cm.
20806,20833,https://m.media-amazon.com/images/I/5109BJAPZwL.jpg,208023,width,6.25 in I 8.25 in fits 4x6 photo,8.25 inches
21070,21097,https://m.media-amazon.com/images/I/510Q4Ozh9gL.jpg,737148,width,MAXWATER Anion Resin Filter Cartidge for products and 20-inch BB Filter Housin AUTIONFo,20 inches
21135,21162,https://m.media-amazon.com/images/I/510UVQ8Q9aS.jpg,220662,width,80mmltyJ C12R:330,80mm
21159,21186,https://m.media-amazon.com/images/I/510WboYCD7L.jpg,483370,width,21.63 in,21.63 inches
21405,21432,https://m.media-amazon.com/images/I/510mCBpnCUS.jpg,652519,width,y--F 3^y5 6'8(203.2cm) 21' (53.34cm) (6.51cm 40L,"The width of the object in the image is 21 inches, which corresponds to 53.34 centimeters as indicated by the measurement provided on the right side of the image."
21783,21813,https://m.media-amazon.com/images/I/5119BvcCyOL.jpg,126471,width,Size Queen 61x15x104 Material Moving Boxes & Moving Supplies Direct from the Factory! UBOXES Mattress Cover QUEEN MATTRESS BAG Closure Type Pull On Protect from dirt dust water and moving damage Easy to slide over furniture Ideal for use during movin g.storage or renovation Made with heavy g Fabric Type Vinyl,15'
21911,21941,https://m.media-amazon.com/images/I/511J9P+PV1S.jpg,460806,width,,52mm
21953,21983,https://m.media-amazon.com/images/I/511Ly+r0bkL.jpg,810266,width,"GLASS JUICE BOTTLES ISET OF 8 2.75"" 6.69"" 160z","2.75"""
22754,22784,https://m.media-amazon.com/images/I/512F3Pt31sL.jpg,752266,width,2.5' energy? 140 Lumens ENERGYSTAR PLUG-IN 3300K RECESSED Wire Screw SURFACE Linkable Installation COLOR MOUNT MOUNT Included 5'power cord,2.5 inches
22948,22978,https://m.media-amazon.com/images/I/512S5QWRVbL.jpg,558806,width,4' 6,"4"""
23097,23127,https://m.media-amazon.com/images/I/512ceuKuu5L.jpg,347320,width,"KCS Stitch a happy life  STITCH ADACLOTH www.kcscraft.com Aida Cloth 100%Cotton 3 pc,18CT,Black 15x 18for each",15 inches
23435,23465,https://m.media-amazon.com/images/I/513+Cq5ZTUL.jpg,816782,width,Rug Form Type Area Rug Size 4'x6' Material Polyester,4'
23522,23552,https://m.media-amazon.com/images/I/5133YCrdFEL.jpg,823083,width,4.7 in 16 in,4.7 inches
23881,23911,https://m.media-amazon.com/images/I/513UdkTufML.jpg,550595,width,cm 4,14 cm
24417,24447,https://m.media-amazon.com/images/I/5142E+ED0+L.jpg,730429,width,,"The width of the object, as indicated in the image, is 18 inches."
25216,25250,https://m.media-amazon.com/images/I/514zZckYDVL.jpg,978900,width,PYREX COOKING EXPERT SINCE 1915 Bake & Enjoy 1.1L25x25cm34 Tres haute resistance a la chaleu esista EXTREME 40'0 VEROSIGLASE +300'0 10,25 cm
25488,25522,https://m.media-amazon.com/images/I/515GKFkk4TL.jpg,208023,width,Grandpa 6.25 in - I - 8.25 in fits 4x6 photo,8.25 inches
25571,25605,https://m.media-amazon.com/images/I/515LK0yYEaL.jpg,970563,width,350 mm 30mm. 30.mm,30 mm
25631,25665,https://m.media-amazon.com/images/I/515P6p8yqsL.jpg,931856,width,3pcs/16',"16"""
25668,25702,https://m.media-amazon.com/images/I/515S6+0lFAL.jpg,277199,width,"3 WARNING Keep this bag away from babies and children. Do not use in cribs, bed, carriages or playpens. The thin film may cling to nose and mouth and prevent breathing. AVISO Para evitar el pelgro de asfixia mantener siempre fuera de el alcance de ninos y de bebes No usar en cunas, camas, carriolas y corrales para bebes. El plastico delgado puede pegarse a la narlz y boca y detener la respiracion ATTENTION Garder ce sac hors de portee des bebes et enfants Ne pas utiliser dans les berceaux, lits,poussettes ou parcs a bebe Le film protecteur,etant fin,pourrait par inadvertance provoquer I'etouffement en bloquant les narines ou/et la bouche 10""","10"""
26043,26077,https://m.media-amazon.com/images/I/515qg5cp35L.jpg,846116,width,SAN HIMA AMMCABLE 720MM UHFFIBERGLASS ANTENNA(SDBi Gain),720mm
26127,26161,https://m.media-amazon.com/images/I/515wPjPim3L.jpg,483370,width,7.5CM E3,The width of the object in the image is 7.5 centimeters (cm).
26430,26464,https://m.media-amazon.com/images/I/516FR8J8+TL.jpg,267182,width,19.5CM 14.2CM 21CM,21CM
26453,26487,https://m.media-amazon.com/images/I/516HOK5Ex9L.jpg,648011,width,"150Watts 3.2 in T12 Clear Bulb Finish G17Q 3-4 Pin Base, Center Post technical precision BRINGING ENERGYTOLIFE",3.2 in
26589,26623,https://m.media-amazon.com/images/I/516RpqjWxIL.jpg,752266,width,76.75 10.25',"10.25"""
26738,26772,https://m.media-amazon.com/images/I/516dVAOGLJL.jpg,180410,width,Size Information 20CM 3CM 10.5CM,The width of the object in the image is 10.5 centimeters.
26748,26782,https://m.media-amazon.com/images/I/516eEyAg6wL.jpg,276611,width,"13,0 54,0 -160- Armario-espelheira 2 portas com espelhos 51,4 39,6 36,8 Nicho superior * 60,0 8 +13,6- Cuba de apoio Nicho inferior * 8 30,8 42,8 Gabinete 2portas 11.2 14,4- 8 21 50,7 45,0 54,0 160-","54,0"
27432,27466,https://m.media-amazon.com/images/I/517O9ZrRLOL.jpg,142748,width,Size 1.6 meters Colour Pink Stripe Pattern Striped,1.6 meters
27532,27566,https://m.media-amazon.com/images/I/517W8q1G+5L.jpg,970563,width,3.8CM 20CM 2.2CM,The width of the object in the image is 20 centimeters.
27705,27740,https://m.media-amazon.com/images/I/517hZdJItML.jpg,846116,width,36.5CM 20CM,The width of the object in the image is 20 centimeters.
27942,27977,https://m.media-amazon.com/images/I/517wtjEaJHS.jpg,261553,width,14 in,14 inches
28083,28118,https://m.media-amazon.com/images/I/5183vRItTgL.jpg,175315,width,Size Lounger-7' Color Grey Material Memory Foam Fill Material Memory Foam,7'
28645,28680,https://m.media-amazon.com/images/I/518frn+ANLL.jpg,460806,width,Rollei,86 mm
28842,28877,https://m.media-amazon.com/images/I/518tbecOyEL.jpg,478357,width,"Mobile Rectangle Bench Tables SEAT TABLE MODEL HEIGHT STOOLS HEIGHT TOP SIZE MTS17291012 17"" 12 29"" 30x120 000666 999 MTS17291212 17"" 12 29"" 30x144 666 00006666 MTS15271216 15"" 16 27"" 30x144"" 00006666 Q9 5 MTS193188W 19"" 8 31"" 30x102 000666 MTS19311012W 19"" 12 31"" 30x126 000666 Q99 5 MTS19311212W 19"" 12 31"" 30x148 5 2 wheelchair spaces",120 inches
28876,28911,https://m.media-amazon.com/images/I/518vyHPyeUL.jpg,460806,width,,77mm
29353,29388,https://m.media-amazon.com/images/I/519US26Us0L.jpg,764618,width,"6.3"" PENGUINS 12.3""",The width of the object in the image is 12.3 inches.
29560,29595,https://m.media-amazon.com/images/I/519j-Y9JTiL.jpg,864320,width,"Size Neck 6.3""(17cm) Chest 16.5""(42cm) Waist 13.8""(35cm) Hips 18.1""(46cm) Thigh circumference 10.2"" (26cm) 7.5"" (19cm) Shoulder Width Body Height 18.1""(46cm)","7.5"" (19cm)"
29773,29808,https://m.media-amazon.com/images/I/519xDCSJL6L.jpg,730429,width,10.1lnch SATURDAY AFTERNOON 8.2lnch 12.26 101nch PM JANUARY 6 2022,10.1 inches
29924,29959,https://m.media-amazon.com/images/I/51A4xvuaZoL.jpg,558806,width,3.7CM 12CM,3.7 cm
30068,30103,https://m.media-amazon.com/images/I/51AEEbJM9qL.jpg,549052,width,GREAT SIZE FOR SMALL DOGS 7.5 2,2 inches
30107,30142,https://m.media-amazon.com/images/I/51AH8IBuJyL.jpg,362879,width,70mm E 143mm 42mm KEY CHAIN WEIGHT ~25G KEY SHELL WEIGHT 45G,The width of the object in the image is 42mm.
30157,30192,https://m.media-amazon.com/images/I/51AKTAOyC9L.jpg,536583,width,Plane Body Plane Body Plane Body Product Nane Planer Blade Planer Blade Planer Blade Length Width Height Length Width Thickness Ebony Small 80mm 22mn 22mm 55mm 13.5nm 2nn Polisher,"The width of the object, as indicated in the table accompanying the image, is 22mm."
30289,30324,https://m.media-amazon.com/images/I/51ATyYMRANS.jpg,762585,width,"ULTRA ULTRA ULTRA RIZLAT. RIZLAF SLIM ULTRA SLIM RIZLAF SLIM ULTRA SLIM RIZLA-F SLIM 57 5.7 5,7 120 120 ENTRIC 5,7MM 120 ENSTEKS 120 5,7MM ....... 120 FILTRES EN STICKS",5.7 MM
30446,30481,https://m.media-amazon.com/images/I/51AhDXhKHVL.jpg,931856,width,cm 100,The width of the object in the image is 100 cm.
30466,30501,https://m.media-amazon.com/images/I/51AixAQR7yL.jpg,849273,width,"14.0"" ROPA",14.0 inches
30608,30643,https://m.media-amazon.com/images/I/51ArzLRRfGL.jpg,119607,width,16'x16,"16"""
30705,30740,https://m.media-amazon.com/images/I/51AyIxMINnL.jpg,730429,width,10.1nch SATURDAY AFTERNOON 8.2lnch 12: 101 26 PM JANUARY 6 2022,10.1 inch
30730,30765,https://m.media-amazon.com/images/I/51AzpFoeTHL.jpg,886344,width,11.8 62.2,"The width of the object in the image is 11.8 inches, as indicated by the measurement provided on the right side of the top view illustration."
30750,30785,https://m.media-amazon.com/images/I/51B-O9IXCOL.jpg,931856,width,14.17 in,"The width of the object in the image is not directly measurable from the provided perspective. However, if we assume that the plant's width is approximately equal to its height due to its upright growth habit, which is common for such plants, an estimate could be made by using the height measurement as a reference. Without additional measurements or a clear view of the base and top spread of the plant, providing an exact width cannot be determined solely from this image."
30920,30955,https://m.media-amazon.com/images/I/51B9pxAzaKL.jpg,521308,width,19.7 17.3 29.9 66.1,"66.1"""
31193,31230,https://m.media-amazon.com/images/I/51BRuPAQxKL.jpg,991868,width,1 - 7.87IN HANGING HOLE 5.3IN 90 ADJUSTABLE STAND,5.3 IN
31196,31233,https://m.media-amazon.com/images/I/51BSAEn9dAL.jpg,150535,width,12',12 inches
31233,31270,https://m.media-amazon.com/images/I/51BV1V8+A8L.jpg,208023,width,IWALLSPACE,20 inches
31833,31870,https://m.media-amazon.com/images/I/51C6er2HC+L.jpg,488964,width,"8 inches ZOMBAE Standard 16.9 oz 2.5 x 2.5' 1.5 x 3.5"" Water Bottle",2.5 x 2.5 inches
31885,31922,https://m.media-amazon.com/images/I/51CACEzIpqL.jpg,752266,width,0.2W IP67DC12V FC EMC ce RoHS A+ 32MM 23MM 89,32MM
33539,33576,https://m.media-amazon.com/images/I/51DwMkLB8JL.jpg,966823,width,2 PACK 8.3 10 1 14.4,The width of the object in the image is 10 inches.
33787,33827,https://m.media-amazon.com/images/I/51EDJRiAXCL.jpg,757743,width,4,4 inches
34057,34098,https://m.media-amazon.com/images/I/51EWsqF64oS.jpg,208023,width,6.5 in LAURA ASHLEY 5 in fits 4x6photo,5 inches
34706,34747,https://m.media-amazon.com/images/I/51FGZultpPL.jpg,945489,width,Neck finish 24-400 Height 4.447 in Label size 2.362x5.708 in Diameter 1.929 in TheBottleDepot,"The width of the object in the image, which is the diameter, is given as 1.929 inches."
35017,35059,https://m.media-amazon.com/images/I/51FeAVbTBiL.jpg,991868,width,Product Size 9.65 M 5.31 8 3 $0.28 5.51 Weight: 0.27 Ib,9.65 inches
35057,35099,https://m.media-amazon.com/images/I/51Fh+M6cN9L.jpg,130202,width,6' 9' IM TM& DC Comics. (619),6 inches
35143,35185,https://m.media-amazon.com/images/I/51FnS4xaJuL.jpg,658892,width,13.8 2.7,The width of the object in the image is 2.7 inches.
36151,36193,https://m.media-amazon.com/images/I/51Gvf5XzBCL.jpg,816782,width,Rug Form Type Area Rug Size 2'x 8' Material Polyester,2 feet
36510,36554,https://m.media-amazon.com/images/I/51HJ5ZG4CML.jpg,192915,width,LINEA ARMADA 12CM - igoto 8 CM NOM iGOtO,8 CM
36808,36852,https://m.media-amazon.com/images/I/51Hfd3JnShL.jpg,675317,width,3.15 inch 80mm 4.57 inch .116mm 148mm 5.83 inch 180mm 7.09 inch 8.35 inch .212mm 244mm 9.61 inch .. 13.31 inch .338mm 19.69 inch 500mm 600mm 23.62 inch 31.50inch 800mm 39.37 inch 1000mm Height: 0.7 inch 18mm) 47.24 inch 1200mm,The width of the object in the image is 0.7 inch (18mm).
36927,36971,https://m.media-amazon.com/images/I/51Hodqm+w5L.jpg,130202,width,3.94lnch 1.58lnch P55EROHSABS Easy To Install 7.09lnch,3.94Inch
36955,36999,https://m.media-amazon.com/images/I/51HqmKULDKL.jpg,358831,width,9.8 DOUBLE THICKNESS 0.8,The width of the object is 15.7 inches.
37216,37260,https://m.media-amazon.com/images/I/51I90fHYMlL.jpg,810266,width,81/8 13.41oz 27/8,"2 7/8"""
37268,37312,https://m.media-amazon.com/images/I/51ICrEe6ugL.jpg,648011,width,45mm E27 BASE 3W=28W 280 Huoqilin LUMENS E273000K 83mm 3W220-240V X3 3000K WARM WHITE,45mm
37357,37401,https://m.media-amazon.com/images/I/51IGbFQKr4L.jpg,944936,width,"RAFFLE Bring a pack of diapers in any size, for a chance to win","2"""
37535,37579,https://m.media-amazon.com/images/I/51IQ9gtwvxL.jpg,931247,width,"HOW TO MEASURE SIZE Tablecloth size= 52""x70 Drop=6' Drop=12"" Table=40x58 Table=28x48",The width of the object in the image is 52 inches.
37680,37724,https://m.media-amazon.com/images/I/51IcPJTh5aL.jpg,683885,width,Decorative Matte Tulle QXPO 100% Polyester nternational TL2440BK 3048410827 MADE IN CHINA Matte Tulle Int XPOpMall,6 inches
38813,38857,https://m.media-amazon.com/images/I/51JpbWlEu+L.jpg,558806,width,4.5CM 5CM 5CM 5CM 7.5CM 5CM,The width of each object in the image is 5 centimeters.
39161,39205,https://m.media-amazon.com/images/I/51KCdYT4KpL.jpg,752266,width,11.6in 0.98in 0.98in Super Slim Backlit Design,11.6 inches
39410,39454,https://m.media-amazon.com/images/I/51KU+J5n7aS.jpg,119607,width,Please Keep Off The Grass Thank Yyou Afuven Size,The width of the object in the image is 7 inches.
40238,40283,https://m.media-amazon.com/images/I/51LLgbkA8QL.jpg,886344,width,Winch Plate 10,"The width of the object in the image is 4.49 inches, as indicated by the measurement provided on the inset diagram below the main image."
40251,40296,https://m.media-amazon.com/images/I/51LMlxUxG3L.jpg,172842,width,Breathe Cut-To-Fit 1Pack Replacememt Carbon Activated Pre-Filter 16x48 UPC:739342810021,"16"""
40627,40672,https://m.media-amazon.com/images/I/51LlYbeG72L.jpg,866516,width,4-1/4',"6"""
41922,41967,https://m.media-amazon.com/images/I/51NDUHhhA-L.jpg,810266,width,-220 -210 -180 6 150 120 -90 -60 MAM 2- -30 ml UK floz,210 mm
42309,42354,https://m.media-amazon.com/images/I/51NcpRswwEL.jpg,943839,width,www.gunplatools.com GUNPLA O Wood Cutting Saw Blade 222 1154.5x40Tx22.2mm X.RPM 2.0 mm 13200 Carbide Teeth 2.0mm kerf #421217,The width of the saw blade is indicated as 22.2mm on the packaging.
42473,42518,https://m.media-amazon.com/images/I/51NpSneSK0L.jpg,524117,width,2 Insulated Compartments 15.8CM Panda LUNCH BOX X X 15.7CM,15.8 CM
42920,42965,https://m.media-amazon.com/images/I/51OGkwblhXL.jpg,150535,width,7.5 HOLOGRAPHIC FOIL DETAILS PACK OF 8,"7.5"""
43066,43111,https://m.media-amazon.com/images/I/51OR0ym+zCL.jpg,181357,width,120cm/47Inches 17cm 15cm,15cm
43666,43712,https://m.media-amazon.com/images/I/51P3no1RHOL.jpg,178958,width,Fixed bucket design 13CM high heels Ladies'shoes Men's shoes Size 43 men's shoes,15CM
43826,43872,https://m.media-amazon.com/images/I/51PFxqMn7+L.jpg,483370,width,10 in,The width of the object in the image is 10 inches.
43875,43921,https://m.media-amazon.com/images/I/51PJZfG6aqL.jpg,784538,width,"11.5 inch CHARLOTTES WEB ""Why did you do all this for me?"" he asked. ""I don't deserve it. I've never done anything for you."" 15 inch ""You have been my friend,"" replied Charlotte. ""That in itself is a tremendous thing... 164.",15 inch
43948,43994,https://m.media-amazon.com/images/I/51PO6OhhadL.jpg,675317,width,BRICARD SERRURE A ENCASTRER Porte de SALLE DE BAIN TOILETTES FERMETURE PAR BOUTON CARRE7MM REVERSIBLE AXE40MM 2676 BOUTS RONDS,40 mm
43976,44022,https://m.media-amazon.com/images/I/51PQO9L2fgL.jpg,242256,width,3'x5 SIZE,3 feet
44635,44681,https://m.media-amazon.com/images/I/51Q9zYbyPaL.jpg,150535,width,S N HI PACKING Organic Bagasse Dinner Plates Eco-Friendly 7Round Plates Disposable Produce from sugarcane pulp Microwavable 100% SEGO 100% BPA FREE,7 inches
45003,45049,https://m.media-amazon.com/images/I/51QZ7a4o68L.jpg,944936,width,SIZE HO HO 8 HO Ly SHIT WE MADE IT TO DECEMBER! 5.3',8 inches
45081,45127,https://m.media-amazon.com/images/I/51QedafL9pL.jpg,931856,width,6.6in Realistic flower heads .5in 8 Vivid green leaves Long stem can be bent or trimmed,6.6in
45413,45459,https://m.media-amazon.com/images/I/51R+Gv0IUkL.jpg,648011,width,How Should We Choose The Size SCREWDISTINCTION 27MM 14MM SIZE: E27 SIZE: E14,27MM
45570,45616,https://m.media-amazon.com/images/I/51RB+kGOw9L.jpg,278850,width,tep EJ3:27x27mm 04 TOTAL AMOUNT * 38.9.25,27 mm
45583,45629,https://m.media-amazon.com/images/I/51RBz6TSVsL.jpg,470067,width,"270mm/10.24 130mm/5.12 "" >>> 1/2"" = 00 1/4"" 70mm/2.75"" >>>> 3/8'","The width of the object in the image is 70mm or 2.75 inches, as indicated by the vertical measurement provided next to the faucet."
45610,45656,https://m.media-amazon.com/images/I/51REsIKC2UL.jpg,784538,width,59.1x82.7inch/150x210.cm 51.2x59.7inch/130x150.cm 29.1x38.2inch 73x95.cm 5 QUEEN BED 60 in width,60 inches
45688,45734,https://m.media-amazon.com/images/I/51RJaFfXMwL.jpg,558806,width,4' 7.25,"4"""
45874,45920,https://m.media-amazon.com/images/I/51RVHquXMkL.jpg,141308,width,LAPTOP COMPARTMENT suitable for 14-inch laptops,"The width of the object in the image, which is a laptop, cannot be precisely determined from the provided perspective and without additional reference points. However, based on common dimensions for 14-inch laptops, it can be inferred that the laptop's width falls within the range of approximately 35 to 38 centimeters (approximately 14 to 15 inches). This estimation assumes standard dimensions for such devices."
46041,46087,https://m.media-amazon.com/images/I/51Rge5KSnxL.jpg,784538,width,"IBIZA 10"" RELAX 8'","8"""
